	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
53141	1	FR	73	BY	200912	2	3	201952	7291	5475
53142	1	FR	73	BY	200931	2	1	201952	7995	140
53143	1	FR	73	BY	200931	2	3	201952	59517	1010
53144	1	FR	73	BY	200939	2	3	201952	88002	16627
53145	1	FR	73	BY	200950	2	3	201952	5901	3893
53146	1	FR	73	BY	200961	2	3	201952	955	519
53147	1	FR	73	BY	200971	2	3	201952	7636	5041
53148	1	FR	73	BY	200990	2	3	201952	59809	28106
53149	1	FR	73	BY	210220	2	3	201952	54615	13000
53150	1	FR	73	BY	210230	2	3	201952	17	5
53151	1	FR	73	BY	210390	2	3	201952	3122	600
53152	1	FR	73	BY	210410	2	3	201952	17250	1645
53153	1	FR	73	BY	210610	2	3	201952	251300	24387
53154	1	FR	73	BY	210690	1	3	201952	155	0
53155	1	FR	73	BY	210690	1	4	201952	33	0
53156	1	FR	73	BY	210690	2	0	201952	79	0
53157	1	FR	73	BY	210690	2	3	201952	965165	301845
53158	1	FR	73	BY	210690	2	4	201952	23859	154
53159	1	FR	73	BY	21SSS0	2	3	201952	234555	20206
53160	1	FR	73	BY	21SSS0	2	4	201952	2634	320
53161	1	FR	73	BY	220299	1	3	201952	5360	5760
53162	1	FR	73	BY	220299	2	3	201952	7641	4914
53163	1	FR	73	BY	220300	2	3	201952	156609	363108
53164	1	FR	73	BY	220410	2	1	201952	768158	20741
53165	1	FR	73	BY	220410	2	3	201952	949636	139011
53166	1	FR	73	BY	220421	2	0	201952	8445	140
53167	1	FR	73	BY	220421	2	1	201952	4578	231
53168	1	FR	73	BY	220421	2	3	201952	3240273	1242451
53169	1	FR	73	BY	220421	2	4	201952	188	9
53170	1	FR	73	BY	220429	1	3	201952	87	1
53171	1	FR	73	BY	220429	2	3	201952	524822	638172
53172	1	FR	73	BY	220510	2	3	201952	13713	5040
53173	1	FR	73	BY	220600	2	3	201952	54110	29495
53174	1	FR	73	BY	220820	2	1	201952	4516661	92860
53175	1	FR	73	BY	220820	2	3	201952	404690	100266
53176	1	FR	73	BY	220830	2	1	201952	132298	4403
53177	1	FR	73	BY	220830	2	3	201952	89651	2831
53178	1	FR	73	BY	220840	2	3	201952	527	101
53179	1	FR	73	BY	220850	2	3	201952	8229	4937
53180	1	FR	73	BY	230641	1	1	201952	4767455	19387726
53181	1	FR	73	BY	230910	2	3	201952	5150378	3830939
53182	1	FR	73	BY	230990	2	3	201952	215169	118831
53183	1	FR	73	BY	240130	1	0	201952	155295	848620
53184	1	FR	73	BY	240130	2	1	201952	42500	103950
53185	1	FR	73	BY	240391	2	1	201952	39108	18000
53186	1	FR	73	BY	240391	2	3	201952	2034117	936000
53187	1	FR	73	BY	250100	2	3	201952	4401	800
53188	1	FR	73	BY	250620	2	3	201952	423	10
53189	1	FR	73	BY	250700	2	3	201952	12572	20700
53190	1	FR	73	BY	251990	2	3	201952	15388	13000
53191	1	FR	73	BY	252610	2	3	201952	122	5
53192	1	FR	73	BY	252620	2	3	201952	14931	1543
53193	1	FR	73	BY	25SSS6	2	3	201952	41322	152250
53194	1	FR	73	BY	271012	2	3	201952	3165	50
53195	1	FR	73	BY	271019	2	3	201952	1383758	798147
53196	1	FR	73	BY	271500	2	3	201952	4742	3672
53197	1	FR	73	BY	281520	2	4	201952	33	0
53198	1	FR	73	BY	281700	2	3	201952	423	8
53199	1	FR	73	BY	281820	2	3	201952	74969	9211
53200	1	FR	73	BY	282110	1	3	201952	2703	60
53201	1	FR	73	BY	282110	2	3	201952	103195	2507
53202	1	FR	73	BY	282300	2	3	201952	19257	231
53203	1	FR	73	BY	282510	1	3	201952	105600	40640
53204	1	FR	73	BY	282720	2	3	201952	20319	4877
53205	1	FR	73	BY	282731	2	3	201952	823923	6744
53206	1	FR	73	BY	284310	2	4	201952	3296	36
53207	1	FR	73	BY	284510	2	4	201952	53849	220
53208	1	FR	73	BY	284590	2	4	201952	129279	110
53209	1	FR	73	BY	285310	2	4	201952	366	0
53210	1	FR	73	BY	28SSS5	2	2	201952	820176	2022800
53211	1	FR	73	BY	28SSS5	2	3	201952	209146	363058
53212	1	FR	73	BY	290519	2	3	201952	78	3
53213	1	FR	73	BY	290539	2	4	201952	1	0
53214	1	FR	73	BY	290619	2	4	201952	1210	10
53215	1	FR	73	BY	291260	1	3	201952	20237	48
53216	1	FR	73	BY	291440	2	3	201952	11760	550
53217	1	FR	73	BY	291539	1	3	201952	1853	378
53218	1	FR	73	BY	291570	2	3	201952	64606	810
53219	1	FR	73	BY	291619	2	3	201952	87325	6384
53220	1	FR	73	BY	291620	2	4	201952	3586	10
53221	1	FR	73	BY	291631	2	3	201952	42208	3681
53222	1	FR	73	BY	291811	2	3	201952	660	50
53223	1	FR	73	BY	291814	2	3	201952	249	497
53224	1	FR	73	BY	291815	2	3	201952	10503	1280
53225	1	FR	73	BY	291816	2	3	201952	16313	16347
53226	1	FR	73	BY	291819	2	3	201952	462	2
53227	1	FR	73	BY	291899	2	3	201952	23303	314
53228	1	FR	73	BY	291990	2	3	201952	1132	50
53229	1	FR	73	BY	292149	2	4	201952	50	1
53230	1	FR	73	BY	292249	2	3	201952	31366	9575
53231	1	FR	73	BY	292320	2	3	201952	4215	130
53232	1	FR	73	BY	292390	2	3	201952	79846	65600
53233	1	FR	73	BY	292390	2	4	201952	10	1
53234	1	FR	73	BY	292419	2	3	201952	42217	21601
53235	1	FR	73	BY	292511	2	3	201952	13042	1311
53236	1	FR	73	BY	292690	1	1	201952	403792	342040
53237	1	FR	73	BY	292990	2	3	201952	1758	125
53238	1	FR	73	BY	293020	2	3	201952	6955	3650
53239	1	FR	73	BY	293090	2	3	201952	57969	28440
53240	1	FR	73	BY	293219	2	4	201952	4184	1
53241	1	FR	73	BY	293379	2	3	201952	3384	20
53242	1	FR	73	BY	293499	2	3	201952	2343	20
53243	1	FR	73	BY	293499	2	4	201952	2600	10
53244	1	FR	73	BY	293690	2	1	201952	1290	206
53245	1	FR	73	BY	293690	2	3	201952	57882	3309
53246	1	FR	73	BY	293890	2	3	201952	52579	349
53247	1	FR	73	BY	293890	2	4	201952	2396	20
53248	1	FR	73	BY	294000	2	3	201952	97	0
53249	1	FR	73	BY	294190	2	3	201952	57	0
53250	1	FR	73	BY	29SSS5	2	1	201952	66605	109980
53251	1	FR	73	BY	29SSS5	2	3	201952	23924	4426
53252	1	FR	73	BY	29SSS5	2	4	201952	2	2
53253	1	FR	73	BY	300212	2	4	201952	60	0
53254	1	FR	73	BY	300215	2	3	201952	6344	57
53255	1	FR	73	BY	300219	2	4	201952	490	8
53256	1	FR	73	BY	300220	2	4	201952	4393941	5780
53257	1	FR	73	BY	300230	2	3	201952	363950	1416
53258	1	FR	73	BY	300230	2	4	201952	59351	63
53259	1	FR	73	BY	300290	2	0	201952	267	2
53260	1	FR	73	BY	300290	2	4	201952	198545	813
53261	1	FR	73	BY	300410	2	3	201952	63040	1150
53262	1	FR	73	BY	300420	2	3	201952	99525	3430
53263	1	FR	73	BY	300420	2	4	201952	127936	22
53264	1	FR	73	BY	300439	2	3	201952	20567	51
53265	1	FR	73	BY	300450	2	1	201952	301489	3878
53266	1	FR	73	BY	300450	2	4	201952	201035	1029
53267	1	FR	73	BY	300490	2	1	201952	87055	5416
53268	1	FR	73	BY	300490	2	3	201952	10255913	101029
53269	1	FR	73	BY	300490	2	4	201952	2483547	10798
53270	1	FR	73	BY	300510	2	3	201952	292	2
53271	1	FR	73	BY	300640	2	4	201952	18524	208
53272	1	FR	73	BY	300670	2	3	201952	2750	1
53273	1	FR	73	BY	300670	2	4	201952	1477	4
53274	1	FR	73	BY	310280	1	1	201952	46784224	319197949
53275	1	FR	73	BY	310420	1	1	201952	590510	1869399
53276	1	FR	73	BY	310420	1	3	201952	1900	4500
53277	1	FR	73	BY	310520	1	1	201952	866721	2195595
53278	1	FR	73	BY	320290	2	3	201952	25983	18875
53279	1	FR	73	BY	320300	2	3	201952	50206	4352
53280	1	FR	73	BY	320412	2	3	201952	17818	1218
53281	1	FR	73	BY	320417	2	3	201952	7911	180
53282	1	FR	73	BY	320419	2	3	201952	377	1
53283	1	FR	73	BY	320500	2	3	201952	19838	542
53284	1	FR	73	BY	320611	2	3	201952	136131	5205
53285	1	FR	73	BY	320620	2	3	201952	1130	10
53286	1	FR	73	BY	320649	1	4	201952	64	5
53287	1	FR	73	BY	320820	1	3	201952	144	26
53288	1	FR	73	BY	320820	2	3	201952	303898	28163
53289	1	FR	73	BY	320890	1	3	201952	44	12
53290	1	FR	73	BY	320890	2	3	201952	506780	148176
53291	1	FR	73	BY	320910	1	3	201952	12	3
53292	1	FR	73	BY	320990	2	3	201952	8203	2171
53293	1	FR	73	BY	321000	2	3	201952	10081	2637
53294	1	FR	73	BY	321210	2	3	201952	3571	50
53295	1	FR	73	BY	321290	2	3	201952	393283	33040
53296	1	FR	73	BY	321410	2	3	201952	75714	25082
